date,store_id,product_id,actual_sales
2023-05-08,S002,P001,133
2023-05-09,S002,P001,134
2023-05-10,S002,P001,134
2023-05-11,S002,P001,98
2023-05-12,S002,P001,97
2023-05-13,S002,P001,97
2023-05-14,S002,P001,109
2023-05-15,S002,P001,109
2023-05-16,S002,P001,111
2023-05-17,S002,P001,109
2023-05-18,S002,P001,98
2023-05-19,S002,P001,91
2023-05-20,S002,P001,93
2023-05-21,S002,P001,124
2023-05-22,S002,P001,129
2023-05-23,S002,P001,135
2023-05-24,S002,P001,127
2023-05-25,S002,P001,98
2023-05-26,S002,P001,93
2023-05-27,S002,P001,95
2023-05-28,S002,P001,103
2023-05-29,S002,P001,105
2023-05-30,S002,P001,111
2023-05-31,S002,P001,111
2023-06-01,S002,P001,99
2023-06-02,S002,P001,90
2023-06-03,S002,P001,92
2023-06-04,S002,P001,125
2023-06-05,S002,P001,130
2023-06-06,S002,P001,130
2023-06-07,S002,P001,130
2023-06-08,S002,P001,97
2023-06-09,S002,P001,94
2023-06-10,S002,P001,100
2023-06-11,S002,P001,100
2023-06-12,S002,P001,103
2023-06-13,S002,P001,107
2023-06-14,S002,P001,108
2023-06-15,S002,P001,100
2023-06-16,S002,P001,95
2023-06-17,S002,P001,92
2023-06-18,S002,P001,129
2023-06-19,S002,P001,136
2023-06-20,S002,P001,131
2023-06-21,S002,P001,129
2023-06-22,S002,P001,106
2023-06-23,S002,P001,90
2023-06-24,S002,P001,88
2023-06-25,S002,P001,107
2023-06-26,S002,P001,112
2023-06-27,S002,P001,107
2023-06-28,S002,P001,104
2023-06-29,S002,P001,93
2023-05-01,S002,P002,96
2023-05-02,S002,P002,102
2023-05-03,S002,P002,101
2023-05-04,S002,P002,96
2023-05-05,S002,P002,92
2023-05-06,S002,P002,94
2023-05-07,S002,P002,119
2023-05-08,S002,P002,122
2023-05-09,S002,P002,127
2023-05-10,S002,P002,126
2023-05-11,S002,P002,87
2023-05-12,S002,P002,94
2023-05-13,S002,P002,92
2023-05-14,S002,P002,94
2023-05-15,S002,P002,99
2023-05-16,S002,P002,100
2023-05-17,S002,P002,99
2023-05-18,S002,P002,91
2023-05-19,S002,P002,91
2023-05-20,S002,P002,87
2023-05-21,S002,P002,122
2023-05-22,S002,P002,126
2023-05-23,S002,P002,129
2023-05-24,S002,P002,123
2023-05-25,S002,P002,94
2023-05-26,S002,P002,90
2023-05-27,S002,P002,91
2023-05-28,S002,P002,98
2023-05-29,S002,P002,98
2023-05-30,S002,P002,104
2023-05-31,S002,P002,104
2023-06-01,S002,P002,94
2023-06-02,S002,P002,83
2023-06-03,S002,P002,89
2023-06-04,S002,P002,122
2023-06-05,S002,P002,123
2023-06-06,S002,P002,122
2023-06-07,S002,P002,122
2023-06-08,S002,P002,89
2023-06-09,S002,P002,87
2023-06-10,S002,P002,82
2023-06-11,S002,P002,97
2023-06-12,S002,P002,99
2023-06-13,S002,P002,107
2023-06-14,S002,P002,97
2023-06-15,S002,P002,92
2023-06-16,S002,P002,87
2023-06-17,S002,P002,86
2023-06-18,S002,P002,130
2023-06-19,S002,P002,124
2023-06-20,S002,P002,132
2023-06-21,S002,P002,119
2023-06-22,S002,P002,93
2023-06-23,S002,P002,89
2023-06-24,S002,P002,89
2023-06-25,S002,P002,93
2023-06-26,S002,P002,100
2023-06-27,S002,P002,101
2023-06-28,S002,P002,108
2023-06-29,S002,P002,92
2023-05-01,S003,P001,121
2023-05-02,S003,P001,119
2023-05-03,S003,P001,116
2023-05-04,S003,P001,115
2023-05-05,S003,P001,109
2023-05-06,S003,P001,104
2023-05-07,S003,P001,141
2023-05-08,S003,P001,146
2023-05-09,S003,P001,154
2023-05-10,S003,P001,148
2023-05-11,S003,P001,105
2023-05-12,S003,P001,110
2023-05-13,S003,P001,113
2023-05-14,S003,P001,117
2023-05-15,S003,P001,119
2023-05-16,S003,P001,132
2023-05-17,S003,P001,120
2023-05-18,S003,P001,119
2023-05-19,S003,P001,112
2023-05-20,S003,P001,110
2023-05-21,S003,P001,137
2023-05-22,S003,P001,145
2023-05-23,S003,P001,146
2023-05-24,S003,P001,138
2023-05-25,S003,P001,113
2023-05-26,S003,P001,113
2023-05-27,S003,P001,107
2023-05-28,S003,P001,123
2023-05-29,S003,P001,114
2023-05-30,S003,P001,126
2023-05-31,S003,P001,124
2023-06-01,S003,P001,110
2023-06-02,S003,P001,106
2023-06-03,S003,P001,112
2023-06-04,S003,P001,141
2023-06-05,S003,P001,138
2023-06-06,S003,P001,144
2023-06-07,S003,P001,143
2023-06-08,S003,P001,105
2023-06-09,S003,P001,105
2023-06-10,S003,P001,103
2023-06-11,S003,P001,113
2023-06-12,S003,P001,119
2023-06-13,S003,P001,124
2023-06-14,S003,P001,117
2023-06-15,S003,P001,113
2023-06-16,S003,P001,108
2023-06-17,S003,P001,112
2023-06-18,S003,P001,143
2023-06-19,S003,P001,149
2023-06-20,S003,P001,160
2023-06-21,S003,P001,144
2023-06-22,S003,P001,121
2023-06-23,S003,P001,108
2023-06-24,S003,P001,108
2023-06-25,S003,P001,113
2023-06-26,S003,P001,127
2023-06-27,S003,P001,129
2023-06-28,S003,P001,120
2023-06-29,S003,P001,115
2023-05-01,S003,P002,164
2023-05-02,S003,P002,165
2023-05-03,S003,P002,152
2023-05-04,S003,P002,150
2023-05-05,S003,P002,146
2023-05-06,S003,P002,146
2023-05-07,S003,P002,174
2023-05-08,S003,P002,180
2023-05-09,S003,P002,184
2023-05-10,S003,P002,185
2023-05-11,S003,P002,150
2023-05-12,S003,P002,142
2023-05-13,S003,P002,148
2023-05-14,S003,P002,140
2023-05-15,S003,P002,162
2023-05-16,S003,P002,152
2023-05-17,S003,P002,154
2023-05-18,S003,P002,144
2023-05-19,S003,P002,139
2023-05-20,S003,P002,150
2023-05-21,S003,P002,175
2023-05-22,S003,P002,184
2023-05-23,S003,P002,184
2023-05-24,S003,P002,182
2023-05-25,S003,P002,148
2023-05-26,S003,P002,139
2023-05-27,S003,P002,149
2023-05-28,S003,P002,150
2023-05-29,S003,P002,152
2023-05-30,S003,P002,158
2023-05-31,S003,P002,161
2023-06-01,S003,P002,151
2023-06-02,S003,P002,142
2023-06-03,S003,P002,144
2023-06-04,S003,P002,175
2023-06-05,S003,P002,191
2023-06-06,S003,P002,186
2023-06-07,S003,P002,182
2023-06-08,S003,P002,152
2023-06-09,S003,P002,145
2023-06-10,S003,P002,144
2023-06-11,S003,P002,151
2023-06-12,S003,P002,157
2023-06-13,S003,P002,159
2023-06-14,S003,P002,158
2023-06-15,S003,P002,148
2023-06-16,S003,P002,147
2023-06-17,S003,P002,145
2023-06-18,S003,P002,177
2023-06-19,S003,P002,175
2023-06-20,S003,P002,188
2023-06-21,S003,P002,181
2023-06-22,S003,P002,152
2023-06-23,S003,P002,132
2023-06-24,S003,P002,154
2023-06-25,S003,P002,151
2023-06-26,S003,P002,162
2023-06-27,S003,P002,155
2023-06-28,S003,P002,157
2023-06-29,S003,P002,144
